 Mortalidade - S�o Paulo
�bitos p/Ocorr�nc por Munic�pio e M�s do �bito
Cap�tulo CID-10: I.   Algumas doen�as infecciosas e parasit�rias, III. Doen�as sangue �rg�os hemat e transt imunit�r, IV.  Doen�as end�crinas nutricionais e metab�licas, IX.  Doen�as do aparelho circulat�rio, X.   Doen�as do aparelho respirat�rio, XI.  Doen�as do aparelho digestivo, XX.  Causas externas de morbidade e mortalidade
Per�odo:2011
"Municipio";"Janeiro";"Fevereiro";"Marco";"Abril";"Maio";"Junho";"Julho";"Agosto";"Setembro";"Outubro";"Novembro";"Dezembro";"Total"
"351800 GUARANI D'OESTE";-;-;-;1;1;1;-;-;-;1;1;1;6
"351810 GUARANTA";2;1;1;1;-;1;-;3;1;2;1;1;14
"351820 GUARARAPES";11;16;12;14;6;17;10;10;7;8;7;11;129
"351830 GUARAREMA";7;3;14;4;4;7;12;8;4;6;3;9;81
"351840 GUARATINGUETA";63;54;46;53;63;73;65;61;56;63;47;54;698
"351850 GUAREI";2;2;4;2;2;3;1;-;2;-;5;4;27
"351860 GUARIBA";6;8;9;10;5;9;5;6;7;10;5;8;88
"351870 GUARUJA";118;112;78;83;89;98;111;85;93;117;112;87;1183
"351880 GUARULHOS";408;321;378;357;385;450;427;443;363;425;386;362;4705
"351885 GUATAPARA";-;-;2;-;-;1;2;1;3;1;1;3;14
"351890 GUZOLANDIA";1;-;1;1;-;-;-;-;1;1;2;1;8
"351900 HERCULANDIA";2;1;3;4;3;1;2;2;3;-;4;2;27
"351905 HOLAMBRA";4;1;-;1;-;-;3;-;1;-;2;1;13
"351907 HORTOLANDIA";49;40;29;27;26;45;36;38;34;42;35;31;432
"351910 IACANGA";2;4;4;3;5;5;7;3;2;1;7;2;45
"351920 IACRI";-;1;1;1;-;2;2;1;1;1;1;-;11
"351925 IARAS";-;-;-;1;-;-;-;2;-;1;-;-;4
"351930 IBATE";-;3;6;1;8;8;7;8;5;4;2;7;59
"351940 IBIRA";1;4;3;1;-;2;2;1;3;2;5;2;26
"351950 IBIRAREMA";-;1;2;1;-;1;1;1;-;-;-;2;9
"351960 IBITINGA";19;14;34;21;25;22;35;18;17;16;14;20;255
"351970 IBIUNA";12;11;14;18;13;21;25;17;22;25;10;11;199
"351980 ICEM";2;1;3;-;-;-;2;1;1;3;1;1;15
"351990 IEPE";2;1;3;2;1;-;4;1;2;2;1;4;23
"352000 IGARACU DO TIETE";3;6;5;-;5;2;4;3;-;4;3;-;35
"352010 IGARAPAVA";9;10;7;10;7;13;8;7;5;10;3;5;94
"352020 IGARATA";1;1;2;1;3;1;-;4;6;1;2;1;23
"352030 IGUAPE";6;10;4;5;2;7;11;13;9;2;6;4;79
"352040 ILHABELA";3;4;5;6;4;4;8;9;2;5;5;6;61
"352042 ILHA COMPRIDA";6;-;1;5;2;2;-;6;3;2;2;5;34
"352044 ILHA SOLTEIRA";13;8;20;14;10;9;12;11;14;14;20;12;157
"352050 INDAIATUBA";72;49;65;74;74;79;76;80;53;56;55;56;789
"352060 INDIANA";-;-;2;1;-;2;-;-;-;-;1;-;6
"352070 INDIAPORA";-;1;1;3;3;1;-;1;1;1;1;-;13
"352080 INUBIA PAULISTA";-;-;1;-;-;-;-;1;-;1;-;-;3
"352090 IPAUSSU";4;6;2;2;2;8;4;4;3;3;6;6;50
"352100 IPERO";1;5;1;4;6;5;5;6;2;4;7;5;51
"352110 IPEUNA";-;2;-;-;1;-;-;-;1;2;1;1;8
"352115 IPIGUA";1;1;1;1;1;-;-;-;2;-;1;1;9
"352120 IPORANGA";3;-;2;-;1;-;4;1;1;1;-;1;14
"352130 IPUA";3;5;-;5;1;-;2;5;2;1;1;3;28
"352140 IRACEMAPOLIS";-;5;3;4;3;2;2;-;3;2;-;-;24
"352150 IRAPUA";-;-;1;1;1;-;-;1;1;2;-;-;7
"352160 IRAPURU";-;-;-;1;1;-;5;2;2;1;-;-;12
"352170 ITABERA";4;2;3;-;4;3;5;2;3;4;7;6;43
"352180 ITAI";7;6;2;14;9;11;8;7;7;7;6;4;88
"352190 ITAJOBI";2;3;6;7;6;2;6;4;2;3;-;6;47
"352200 ITAJU";-;-;-;-;-;-;-;-;-;-;-;2;2
"352210 ITANHAEM";59;35;44;40;39;48;65;33;44;43;42;60;552
"352215 ITAOCA";2;-;-;-;-;-;1;-;-;-;2;-;5
"352220 ITAPECERICA DA SERRA";93;60;85;58;83;80;73;84;69;83;80;77;925
"352230 ITAPETININGA";62;53;59;47;61;64;77;61;65;42;50;52;693
"352240 ITAPEVA";39;44;38;38;38;39;52;42;52;43;38;36;499
"352250 ITAPEVI";47;53;51;34;53;58;57;64;60;52;50;37;616
"352260 ITAPIRA";38;33;30;27;33;43;45;28;26;37;23;34;397
"352265 ITAPIRAPUA PAULISTA";-;-;-;-;-;2;-;-;1;-;-;1;4
"352270 ITAPOLIS";14;13;13;16;12;12;12;18;12;10;8;16;156
"352280 ITAPORANGA";6;4;4;7;10;8;10;8;5;4;9;7;82
"352290 ITAPUI";5;2;6;2;2;5;6;5;5;2;-;4;44
"352300 ITAPURA";-;-;1;-;1;1;2;-;-;-;1;-;6
"352310 ITAQUAQUECETUBA";60;61;67;54;66;65;53;73;52;63;73;65;752
"352320 ITARARE";11;15;18;11;15;30;18;10;15;20;14;21;198
"352330 ITARIRI";4;3;-;3;1;2;4;3;1;2;5;2;30
"352340 ITATIBA";29;32;24;31;39;38;36;41;24;37;34;31;396
"352350 ITATINGA";5;-;4;3;2;6;7;2;7;2;4;1;43
"352360 ITIRAPINA";2;4;4;3;3;4;2;3;1;4;5;3;38
"352370 ITIRAPUA";1;1;2;-;-;3;1;-;1;1;-;-;10
"352380 ITOBI";-;1;1;1;-;-;1;-;-;1;1;2;8
"352390 ITU";61;68;62;45;61;74;65;81;60;65;59;53;754
"352400 ITUPEVA";8;4;5;6;8;13;11;7;11;2;6;3;84
"352410 ITUVERAVA";22;17;35;20;20;18;22;22;22;21;20;10;249
"352420 JABORANDI";2;-;4;1;5;-;1;-;1;1;1;1;17
"352430 JABOTICABAL";16;14;31;24;26;24;26;33;26;26;22;21;289
"352440 JACAREI";75;58;52;59;82;60;72;76;73;59;75;76;817
"352450 JACI";2;1;-;1;5;-;4;-;3;3;-;-;19
"352460 JACUPIRANGA";1;3;5;1;3;4;1;3;1;1;4;1;28
"352470 JAGUARIUNA";9;10;7;10;5;10;17;14;9;9;17;11;128
"352480 JALES";41;31;42;33;26;25;32;37;26;34;33;22;382
"352490 JAMBEIRO";1;-;1;-;-;-;1;1;-;1;1;2;8
"352500 JANDIRA";15;8;12;11;13;26;21;15;14;20;12;18;185
"352510 JARDINOPOLIS";4;5;4;7;1;5;1;4;4;2;7;6;50
"352520 JARINU";7;7;6;5;3;3;8;8;4;8;9;6;74
"352530 JAU";61;69;68;64;85;79;96;70;62;58;53;63;828
"352540 JERIQUARA";-;2;1;-;-;-;-;-;-;-;-;-;3
"352550 JOANOPOLIS";13;3;1;3;7;7;6;3;2;5;2;4;56
"352560 JOAO RAMALHO";-;1;-;-;-;-;1;-;1;-;1;-;4
"352570 JOSE BONIFACIO";10;11;11;10;13;21;8;9;12;13;7;8;133
"352580 JULIO MESQUITA";-;-;-;-;-;1;-;-;-;1;-;1;3
"352585 JUMIRIM";-;1;-;-;-;1;-;-;2;1;1;-;6
"352590 JUNDIAI";192;196;166;183;200;218;243;206;177;177;166;163;2287
"352600 JUNQUEIROPOLIS";10;17;6;11;5;13;9;11;7;9;5;3;106
"352610 JUQUIA";4;3;4;4;4;1;7;3;6;3;6;4;49
"352620 JUQUITIBA";7;6;5;5;6;11;9;11;7;9;2;10;88
"352630 LAGOINHA";-;1;2;-;-;2;2;2;1;1;1;1;13
"352640 LARANJAL PAULISTA";9;6;8;4;8;14;14;14;11;14;10;12;124
"352650 LAVINIA";-;-;-;2;-;2;1;1;-;-;-;1;7
"352660 LAVRINHAS";1;-;-;-;-;-;3;1;2;1;-;-;8
"352670 LEME";36;23;37;27;38;26;35;25;25;36;24;24;356
"352680 LENCOIS PAULISTA";19;17;16;9;16;16;21;15;15;14;10;15;183
"352690 LIMEIRA";111;102;113;115;105;149;110;124;79;114;90;78;1290
"352700 LINDOIA";2;1;-;1;1;1;1;-;1;2;1;-;11
"352710 LINS";34;23;29;30;38;47;42;38;29;36;32;34;412
"352720 LORENA";32;40;37;42;37;48;46;32;36;38;27;22;437
"352725 LOURDES";1;-;-;-;-;-;-;-;-;-;-;-;1
"352730 LOUVEIRA";8;1;7;6;4;20;13;4;4;7;5;10;89
"352740 LUCELIA";7;4;6;10;10;8;6;10;1;5;1;7;75
"352750 LUCIANOPOLIS";-;-;-;-;-;-;-;1;-;-;-;-;1
"352760 LUIS ANTONIO";3;-;1;4;-;3;3;2;1;-;1;-;18
"352770 LUIZIANIA";-;1;1;1;1;-;2;1;1;-;1;-;9
"352780 LUPERCIO";1;-;1;1;-;1;1;-;-;-;-;-;5
"352790 LUTECIA";1;-;-;-;-;-;-;-;1;-;-;-;2
"352800 MACATUBA";2;2;3;-;2;1;4;5;5;3;5;4;36
"352810 MACAUBAL";1;2;5;1;2;3;6;2;4;1;-;1;28
"352820 MACEDONIA";-;-;-;1;-;-;-;-;1;-;2;-;4
"352830 MAGDA";-;-;-;1;-;-;-;-;1;1;-;-;3
"352840 MAIRINQUE";7;2;7;13;5;6;8;12;3;2;5;6;76
"352850 MAIRIPORA";23;19;19;19;23;26;14;25;18;12;24;26;248
"352860 MANDURI";1;1;3;2;2;1;-;2;-;-;2;-;14
"352870 MARABA PAULISTA";-;-;-;-;-;-;-;1;-;4;1;-;6
"352880 MARACAI";4;6;3;3;8;8;8;10;7;3;6;4;70
"352885 MARAPOAMA";-;-;-;-;-;-;1;-;1;-;-;-;2
"352890 MARIAPOLIS";1;-;-;-;-;-;-;-;-;-;-;1;2
"352900 MARILIA";115;95;119;89;113;124;124;117;105;112;105;130;1348
"352910 MARINOPOLIS";-;-;1;-;-;-;-;-;-;-;-;1;2
"352920 MARTINOPOLIS";7;6;11;7;6;7;8;4;9;12;8;6;91
"352930 MATAO";28;21;31;23;27;26;24;26;22;33;19;25;305
"352940 MAUA";141;107;97;107;108;125;122;118;106;117;98;119;1365
"352950 MENDONCA";-;2;2;2;1;1;-;-;3;2;-;1;14
"352960 MERIDIANO";-;-;-;1;1;-;-;-;-;1;-;1;4
"352965 MESOPOLIS";-;-;-;1;-;1;1;-;-;-;-;-;3
"352970 MIGUELOPOLIS";2;-;2;2;3;4;5;5;5;5;3;2;38
"352980 MINEIROS DO TIETE";3;2;2;1;1;3;2;2;2;1;6;3;28
"352990 MIRACATU";3;14;4;2;4;6;2;5;7;5;13;3;68
"353000 MIRA ESTRELA";-;1;-;-;1;-;2;1;1;-;-;1;7
"353010 MIRANDOPOLIS";19;13;9;10;18;14;13;14;10;9;12;13;154
"353020 MIRANTE DO PARANAPANEMA";2;3;4;4;4;-;8;4;5;1;3;2;40
"353030 MIRASSOL";8;8;8;10;10;11;6;6;7;6;5;8;93
"353040 MIRASSOLANDIA";3;-;-;-;1;-;1;-;-;1;-;-;6
"353050 MOCOCA";24;41;24;25;43;42;35;36;30;25;30;31;386
"353060 MOGI DAS CRUZES";155;126;133;146;195;178;227;202;184;158;149;171;2024
"353070 MOGI GUACU";50;46;55;59;73;59;76;60;42;55;42;47;664
"353080 MOGI MIRIM";32;26;46;38;28;43;31;26;31;39;25;32;397
"353090 MOMBUCA";-;-;-;-;1;-;-;-;-;-;-;1;2
"353100 MONCOES";-;1;-;-;1;-;-;-;-;-;-;-;2
"353110 MONGAGUA";27;14;28;16;25;18;22;20;17;20;20;30;257
